specialty,targets,claims,planned_calls
Internal Medicine,20713,6066102,162364
Family Practice,20299,5009079,145932
Nurse Practitioner,13835,3311503,100260
Cardiology,13409,6283112,135256
Physician Assistant,4307,1029393,30892
Interventional Cardiology,3126,1331225,30688
Hematology-Oncology,2004,380941,13280
Clinical Cardiac Electrophysiology,1932,986406,19732
General Practice,950,232402,6820
Geriatric Medicine,733,299364,6332
Medical Oncology,450,89824,2952
Hospitalist,397,159448,3320
Pharmacist,384,293566,3532
Advanced Heart Failure and Transplant Cardiology,350,104033,2920
Vascular Surgery,273,45881,1576
Emergency Medicine,251,94804,2072
Pulmonary Disease,149,33188,1004
Hematology,111,25973,796
Nephrology,102,25122,744
Pediatric Medicine,80,16572,520
Certified Clinical Nurse Specialist,68,19329,540
Hospice and Palliative Care,62,24392,532
General Surgery,61,15100,464
Physical Medicine and Rehabilitation,60,30467,500
Osteopathic Manipulative Medicine,41,11696,296
Infectious Disease,39,8900,272
Family Medicine,34,8614,244
Cardiac Surgery,33,14594,328
Peripheral Vascular Disease,30,10879,308
Nuclear Medicine,28,11300,280
Orthopedic Surgery,28,4562,152
Neurology,26,8339,180
Endocrinology,23,5356,160
Interventional Radiology,22,5820,168
Critical Care (Intensivists),20,6155,160
Student in an Organized Health Care Education/Training Program,17,4293,116
Gastroenterology,16,3944,116
Undefined Physician type,14,4911,136
Registered Nurse,13,3114,92
Thoracic Surgery,13,3654,104
Preventive Medicine,12,1824,60
Rheumatology,12,4190,84
Diagnostic Radiology,12,1995,76
Obstetrics & Gynecology,10,3673,88
Sports Medicine,8,1172,48
Sleep Medicine,7,1596,40
Addiction Medicine,7,1425,52
Psychiatry,6,1599,56
Specialist,6,1373,48
Anesthesiology,5,2120,48
Adult Congenital Heart Disease,5,795,28
Hematopoietic Cell Transplantation and Cellular Therapy,4,624,24
Allergy/ Immunology,3,1616,28
Surgery,3,866,28
Pathology,3,1448,32
Pain Management,3,535,20
Urology,3,1037,28
Dermatology,3,1466,28
Legal Medicine,2,297,12
Interventional Pain Management,2,256,8
Psychiatry & Neurology,2,464,16
Radiation Oncology,2,282,8
Contractor,1,124,4
Behavior Analyst,1,144,4
Clinic or Group Practice,1,491,12
Clinic/Center,1,225,8
Ophthalmology,1,112,4
Geriatric Psychiatry,1,1085,12
"Neuromusculoskeletal Medicine, Sports Medicine",1,222,8
Gynecological Oncology,1,202,8
Plastic and Reconstructive Surgery,1,126,4
Pharmacy,1,126,4
Personal Emergency Response Attendant,1,168,8
Licensed Practical Nurse,1,163,8
Otolaryngology,1,786,12
Medical Genetics and Genomics,1,120,4
