state,hcps,planned_calls,market_claims,goal_claims,attainment_pct,actual_claims,reps,target_incentive,payout_linear,payout_accel,payout_capped,diff_vs_linear
AE,1,8,280,8.0,108.9,9.0,1.0,40000.0,43560.0,47120.0,47120.0,3560.0
AK,93,708,20451,614.0,97.5,599.0,1.0,40000.0,39000.0,39000.0,39000.0,0.0
AL,1342,11504,488295,14649.0,111.7,16363.0,8.0,320000.0,357440.0,394880.0,394880.0,37440.0
AP,1,8,233,7.0,127.4,9.0,1.0,40000.0,50960.0,61920.0,61920.0,10960.0
AR,1000,8292,328320,9850.0,95.8,9436.0,6.0,240000.0,229920.0,229920.0,229920.0,0.0
AZ,1295,10028,381764,11453.0,95.8,10972.0,7.0,280000.0,268240.0,268240.0,268240.0,0.0
CA,5775,45368,1796437,53893.0,128.4,69199.0,32.0,1280000.0,1643520.0,2007040.0,2007040.0,363520.0
CO,1175,8572,281895,8457.0,113.8,9624.0,6.0,240000.0,273120.0,306240.0,306240.0,33120.0
CT,991,8312,365503,10965.0,91.5,10033.0,6.0,240000.0,219600.0,219600.0,219600.0,0.0
DC,91,676,22462,674.0,109.8,740.0,1.0,40000.0,43920.0,47840.0,47840.0,3920.0
DE,233,1884,85048,2551.0,91.7,2339.0,1.0,40000.0,36680.0,36680.0,36680.0,0.0
FL,6172,47952,1773499,53205.0,91.6,48736.0,34.0,1360000.0,1245759.9999999998,1245759.9999999998,1245759.9999999998,0.0
GA,2110,17600,790495,23715.0,104.4,24758.0,13.0,520000.0,542880.0,565760.0000000001,565760.0000000001,22880.00000000012
GU,7,32,944,28.0,65.6,18.0,1.0,40000.0,26240.0,0.0,0.0,-26240.0
HI,185,1248,41819,1255.0,69.0,866.0,1.0,40000.0,27600.0,0.0,0.0,-27600.0
IA,1279,10476,396252,11888.0,89.9,10687.0,7.0,280000.0,251720.0,251720.0,251720.0,0.0
ID,458,3344,117412,3522.0,81.8,2881.0,2.0,80000.0,65440.0,65440.0,65440.0,0.0
IL,3323,27396,1087404,32622.0,105.7,34481.0,20.0,800000.0,845600.0,891200.0,891200.0,45600.0
IN,1908,15780,673615,20208.0,83.7,16914.0,11.0,440000.0,368280.0,368280.0,368280.0,0.0
KS,921,7496,296117,8884.0,74.6,6627.0,5.0,200000.0,149199.99999999997,0.0,0.0,-149199.99999999997
KY,1525,12292,492224,14767.0,126.4,18665.0,9.0,360000.0,455040.0,550080.0000000001,550080.0000000001,95040.00000000012
LA,1167,9796,434225,13027.0,95.9,12493.0,7.0,280000.0,268520.0,268520.0,268520.0,0.0
MA,2165,17052,700528,21016.0,101.2,21268.0,12.0,480000.0,485760.0,491520.0,491520.0,5760.0
MD,1202,9416,338931,10168.0,74.4,7565.0,7.0,280000.0,208320.0,0.0,0.0,-208320.0
ME,516,3708,122888,3687.0,90.2,3326.0,3.0,120000.0,108240.0,108240.0,108240.0,0.0
MI,3189,24440,899321,26980.0,102.0,27520.0,17.0,680000.0,693600.0,707200.0,707200.0,13600.0
MN,2186,16740,532600,15978.0,79.3,12671.0,12.0,480000.0,380640.0,0.0,0.0,-380640.0
MO,1956,16656,712703,21381.0,106.8,22835.0,12.0,480000.0,512640.0,545280.0,545280.0,32640.0
MP,1,8,163,5.0,89.2,4.0,1.0,40000.0,35680.0,35680.0,35680.0,0.0
MS,747,6156,259991,7800.0,94.7,7387.0,4.0,160000.0,151520.0,151520.0,151520.0,0.0
MT,352,2576,81917,2458.0,89.2,2193.0,2.0,80000.0,71360.0,71360.0,71360.0,0.0
NC,3058,24408,950303,28509.0,133.3,38002.0,17.0,680000.0,906440.0,1132880.0000000002,1132880.0000000002,226440.0000000001
ND,302,2512,87308,2619.0,99.8,2614.0,2.0,80000.0,79840.0,79840.0,79840.0,0.0
NE,753,6156,215891,6477.0,81.0,5246.0,4.0,160000.0,129600.0,129600.0,129600.0,0.0
NH,442,3396,113539,3406.0,114.8,3910.0,2.0,80000.0,91840.0,103680.0,103680.0,11840.0
NJ,2185,18544,703527,21106.0,78.0,16463.0,13.0,520000.0,405600.0,0.0,0.0,-405600.0
NM,316,2460,91971,2759.0,103.8,2864.0,2.0,80000.0,83040.0,86080.0,86080.0,3040.0
NV,565,4204,141900,4257.0,64.7,2754.0,3.0,120000.0,77640.0,0.0,0.0,-77640.0
NY,5520,44328,1631645,48949.0,76.1,37250.0,32.0,1280000.0,974080.0,0.0,0.0,-974080.0
OH,3792,30904,1266289,37989.0,103.5,39319.0,22.0,880000.0,910800.0,941600.0,941600.0,30800.0
OK,999,8056,320947,9628.0,113.3,10909.0,6.0,240000.0,271920.0,303840.0,303840.0,31920.0
OR,1227,9184,294778,8843.0,103.1,9117.0,7.0,280000.0,288680.0,297359.99999999994,297359.99999999994,8679.999999999942
PA,5157,43084,1699804,50994.0,97.9,49923.0,31.0,1240000.0,1213960.0,1213960.0,1213960.0,0.0
PR,816,6336,212023,6361.0,94.6,6018.0,5.0,200000.0,189200.0,189200.0,189200.0,0.0
RI,337,2620,124766,3743.0,73.4,2747.0,2.0,80000.0,58720.0,0.0,0.0,-58720.0
SC,1400,11068,406742,12202.0,87.0,10616.0,8.0,320000.0,278400.0,278400.0,278400.0,0.0
SD,362,2928,106311,3189.0,91.7,2924.0,2.0,80000.0,73360.0,73360.0,73360.0,0.0
TN,2174,17548,697599,20928.0,119.0,24904.0,13.0,520000.0,618800.0,717600.0,717600.0,98800.0
TX,4385,35784,1385663,41570.0,106.2,44147.0,26.0,1040000.0,1104480.0,1168960.0,1168960.0,64480.0
UT,537,4052,144994,4350.0,68.3,2971.0,3.0,120000.0,81960.0,0.0,0.0,-81960.0
VA,2117,16508,581987,17460.0,105.8,18473.0,12.0,480000.0,507840.0,535680.0,535680.0,27840.0
VI,9,60,1980,59.0,93.1,55.0,1.0,40000.0,37240.0,37240.0,37240.0,0.0
VT,221,1484,50288,1509.0,87.8,1325.0,1.0,40000.0,35120.0,35120.0,35120.0,0.0
WA,1486,11456,422972,12689.0,111.0,14085.0,8.0,320000.0,355200.0,390400.0,390400.0,35200.0
WI,2337,18524,657313,19719.0,118.6,23387.0,13.0,520000.0,616720.0,713440.0,713440.0,96720.0
WV,603,4636,182909,5487.0,116.8,6409.0,3.0,120000.0,140160.0,160320.0,160320.0,20160.0
WY,167,1296,39300,1179.0,84.9,1001.0,1.0,40000.0,33960.0,33960.0,33960.0,0.0
XX,3,28,1112,33.0,94.4,31.0,1.0,40000.0,37760.0,37760.0,37760.0,0.0
ZZ,1,12,507,15.0,106.0,16.0,1.0,40000.0,42400.0,44800.0,44800.0,2400.0
